"panel","year","threshold_name","threshold_value","n_exceed","thin_flag","ln_mu","ln_sigma","ln_status","gpd_xi","gpd_sigma","gpd_status","vuong_stat","vuong_p","winner"
"real",2016,"p97.5",3733.65676463377,806,"",6.3879246560431,1.9711865900408,"converged",0.305342509339218,15221.5259291914,"converged",8.16931056155571,3.10156794777103e-16,"LN"
"real",2016,"p99",10703.2023057735,323,"",7.75740811106072,1.64958326134378,"converged",0.243097536080503,27215.1458504382,"converged",3.77681462300609,0.000158846868091835,"LN"
"real",2017,"p90",408.088515859009,3231,"",5.14513111090513,2.34738993793112,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2017,"p95",1487.78145724862,1616,"",6.29682153495873,2.0146493270883,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2017,"p97.5",4198.9034342041,808,"",6.98320579323852,1.83019495043998,"converged",0.296205611720482,16646.9228936496,"converged",7.92642669669824,2.25541675539542e-15,"LN"
"real",2017,"p99",12194.9746771262,324,"",7.55797150082816,1.70148124070997,"converged",0.241019588788427,29183.347012376,"converged",3.73868330537415,0.000184986586184578,"LN"
"real",2018,"p90",444.439121478909,3233,"",5.43693700692033,2.28882084464108,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2018,"p95",1653.44300895,1617,"",6.33618116666768,2.02939556379935,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2018,"p97.5",4792.55404795247,809,"",6.32398313908727,2.01039185158978,"converged",0.300069331597118,18042.5247172695,"converged",7.95139280951676,1.8442615593886e-15,"LN"
"real",2018,"p99",13417.8403961993,324,"",8.14360189097331,1.57320861547393,"converged",0.231180480440503,31890.1009053893,"converged",3.56520229785781,0.000363575644125352,"LN"
"real",2019,"p90",454.265533012903,3165,"",5.38231105740737,2.29541879991042,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2019,"p95",1677.6445473,1583,"",6.19035566309107,2.06063556206617,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2019,"p97.5",4683.31825549613,792,"",6.50389143876194,1.97085548259197,"converged",0.29968556332091,17836.4443113612,"converged",7.81215236843697,5.62195376400482e-15,"LN"
"real",2019,"p99",13142.6528985702,317,"",8.34190628779543,1.52447159129117,"converged",0.222501052049257,31548.96076859,"converged",3.36116280320748,0.000776150620404172,"LN"
"control_lognormal",1988,"p90",83.3277000000006,823,"",3.39118617140053,2.40146716088188,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"control_lognormal",1988,"p95",270.01463065,412,"",5.54698757578748,1.66800584124173,"converged",0.287659313478457,1632.44151692957,"converged",5.34146540696919,9.2198211856803e-08,"LN"
"control_lognormal",1988,"p97.5",846.014048074999,206,"",1.37402441564914,2.73499094412428,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"control_lognormal",1988,"p99",2475.8064544,83,"",-7.98080518098068,4.11110268355133,"converged",0.401572809030023,9790.81920992448,"converged",3.50898921455068,0.00044981314521229,"LN"
"control_lognormal",1989,"p90",140.3720608,945,"",4.09837035121524,2.10030441983099,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"control_lognormal",1989,"p95",438.3931269,473,"",2.58427214290944,2.66933952770965,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"control_lognormal",1989,"p97.5",1162.4325308,237,"",-0.222160497792348,2.76246020208831,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"control_lognormal",1989,"p99",2976.86651453996,95,"",5.6832044325948,1.9121868221967,"converged",0.269480529895647,8946.22523159615,"converged",2.39320487898198,0.0167019118014637,"LN"
"control_lognormal",1990,"p90",150.0421176,984,"",4.00443616794668,2.21508187773591,"converged",1.0082408419159,328.404199043,"converged",2.71154684450046,0.00669700775106373,"LN"
"control_lognormal",1990,"p95",480.191250199999,492,"",5.19575266249013,2.04099370949473,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"control_lognormal",1990,"p97.5",1315.068753,246,"",-33.1827924090444,6.56443661304391,"converged",0.1900658645371,35124.7234114442,"converged",14.7891428906818,1.72131786285161e-49,"LN"
"control_lognormal",1990,"p99",3440.93287628,99,"",8.09542623548964,1.09740155997484,"converged",0.134328176635892,6947.10102124537,"converged",0.993214019224879,0.320605667786105,"neither"
"control_lognormal",1991,"p90",152.5611948,1082,"",2.48415957854793,2.87232185540773,"converged",0.216107628515244,53264.3183266414,"converged",49.6809316499723,0,"LN"
"control_lognormal",1991,"p95",521.747259599997,541,"",5.22036945461419,2.19979191395944,"converged",0.368431201021145,6392.83279418332,"converged",10.6301761296927,2.1570472240246e-26,"LN"
"control_lognormal",1991,"p97.5",1430.5028147,271,"",5.0228591223079,2.05057714944465,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"control_lognormal",1991,"p99",3942.54569576,109,"",8.25723653655625,1.24533315357879,"converged",0.191786270025344,10943.2803253797,"converged",1.67970740747435,0.0930142578503561,"neither"
"control_lognormal",1992,"p90",147.7471912,1339,"",3.12249336569884,2.65348125905408,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"control_lognormal",1992,"p95",504.9593482,670,"",4.50221724064399,2.27493856911884,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"control_lognormal",1992,"p97.5",1359.5939832,335,"",5.8180144422895,1.81894193670182,"converged",0.288322022658429,5048.22975894367,"converged",4.78808991756535,1.68376208400647e-06,"LN"
"control_lognormal",1992,"p99",3942.21187484,134,"",5.38267242813037,2.0384266796663,"converged",0.288962663810067,11122.2639154055,"converged",3.04191820511803,0.0023507576356812,"LN"
"control_lognormal",1993,"p90",143.104042,1487,"",4.58393214364062,2.06340477887866,"converged",0.958621454100344,362.895244829379,"converged",0.528968861138202,0.596827051172378,"neither"
"control_lognormal",1993,"p95",484.5825075,744,"",4.10574426437997,2.24182256877671,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"control_lognormal",1993,"p97.5",1324.33520525,372,"",4.82195143016172,2.0616099325552,"converged",0.323424380987528,5473.88979902399,"converged",6.34007244511556,2.2965714688181e-10,"LN"
"control_lognormal",1993,"p99",3376.55324289997,149,"",7.79046895566136,1.32452990110985,"converged",0.22926843705842,9166.79270198211,"converged",2.51053393404705,0.0120548735354123,"LN"
"control_lognormal",1994,"p90",145.5044148,1752,"",3.03970068799544,2.52987021669864,"converged",1.08070496681829,301.051549446296,"converged",1.99084950754098,0.0464974346806174,"LN"
"control_lognormal",1994,"p95",456.308836549997,876,"",3.80597662512498,2.30045148114225,"converged",0.176741242552783,8965.00375381323,"converged",21.9290483166101,1.37268338307234e-106,"LN"
"control_lognormal",1994,"p97.5",1260.070701075,438,"",6.21329477264915,1.69481977025275,"converged",0.10014603223608,20094.5448721581,"converged",17.1370190333616,7.8577204505874e-66,"LN"
"control_lognormal",1994,"p99",3425.23069831996,176,"",5.54194495022377,2.08672061092605,"converged",0.306381804554211,13194.5765061678,"converged",4.04878022465287,5.14852632931832e-05,"LN"
"control_lognormal",1995,"p90",152.5975812,1890,"",3.78371428045392,2.33331401172417,"converged",0.100916750027682,19144.6965272865,"converged",52.9840960626748,0,"LN"
"control_lognormal",1995,"p95",492.160091000002,945,"",5.23458229606436,1.93118619540001,"converged",0.830009908570263,874.44241377202,"converged",1.29510490376262,0.195284043507849,"neither"
"control_lognormal",1995,"p97.5",1393.79724959999,473,"",4.76781732930634,2.18121750445845,"converged",0.329930174635968,6364.01971477465,"converged",6.83815555170857,8.02192688618811e-12,"LN"
"control_lognormal",1995,"p99",3866.17310852001,189,"",7.39938427167151,1.56986850776524,"converged",0.236522190510319,12400.2794986653,"converged",2.99382826280546,0.00275500969041197,"LN"
"control_lognormal",1996,"p90",155.747700000001,1962,"",2.84834648100364,2.75225597522179,"converged",0.18734631854753,15730.6434427852,"converged",47.0718858178659,0,"LN"
"control_lognormal",1996,"p95",516.5808624,981,"",5.4536518805815,1.95622207115366,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"control_lognormal",1996,"p97.5",1432.3759071,491,"",3.81167262421338,2.29902211977182,"converged",0.337132955955146,5893.50239259361,"converged",7.59230009518217,3.14276114134984e-14,"LN"
"control_lognormal",1996,"p99",3929.33504142,197,"",7.38000647562105,1.52308940710766,"converged",0.247068673769931,11008.8287675759,"converged",3.03865978942874,0.0023763304557648,"LN"
"control_lognormal",1997,"p90",161.05395,2089,"",3.91409717473732,2.37806528873429,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"control_lognormal",1997,"p95",540.5831385,1045,"",4.67269728175612,2.1949648947475,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"control_lognormal",1997,"p97.5",1555.4351755,523,"",3.96624020633751,2.44974334138177,"converged",0.333556685636985,9081.01071410967,"converged",8.6506390789089,5.12118265516643e-18,"LN"
"control_lognormal",1997,"p99",4194.14161099999,209,"",2.38399765235173,2.67021624304141,"converged",0.321032787803481,13191.1428926085,"converged",4.19664424045183,2.70898957632504e-05,"LN"
