"panel","pair","mean_log_eta","var_log_eta","n_cells","intercept_se","slope_se","r_squared"
"real","AUS_CUB",-0.692722366565636,1.7082945285021,32,NA,NA,NA
"real","AUS_CXR",-0.0345667750597185,0.0409556162294999,32,NA,NA,NA
"real","AUS_CYP",-0.0352669622313812,0.322195256371441,32,NA,NA,NA
"real","AUS_DEU",0.00358365968007324,0.0248554189180811,32,NA,NA,NA
"real","AUS_DJI",-0.17497920521177,0.468841342760875,32,NA,NA,NA
"real","AUS_DMA",-0.427554158263583,1.2610269525451,30,NA,NA,NA
"real","AUS_DNK",-0.203204426162229,0.275650166868895,32,NA,NA,NA
"real","AUS_DOM",-0.35532147159512,1.40221643861525,31,NA,NA,NA
"real","AUS_DZA",0.04957868402217,1.24780601569238,32,NA,NA,NA
"real","AUS_ECU",0.240788279890088,0.819709140514633,32,NA,NA,NA
"real","AUS_EGY",0.248305599124924,0.546756641155219,32,NA,NA,NA
"real","AUS_ESP",0.0655724394585982,0.102620418708289,32,NA,NA,NA
"real","AUS_FIN",-0.176657606747984,0.268460454116902,32,NA,NA,NA
"real","AUS_FRA",0.157586035896695,0.22105752997471,32,NA,NA,NA
"real","AUS_GAB",-0.570903412710741,1.73583452110808,31,NA,NA,NA
"real","AUS_GBR",0.00507637182709306,0.107759544519898,32,NA,NA,NA
"real","AUS_GHA",-0.188686488253362,0.646246722924976,32,NA,NA,NA
"real","AUS_GIB",-2.03232033689368,3.63936750870441,29,NA,NA,NA
"real","AUS_GIN",-0.891536928609353,3.16899992060171,32,NA,NA,NA
"real","AUS_GLP",-1.38766243832789,2.92108984219402,12,NA,NA,NA
"real","AUS_GMB",-1.49026964207896,2.83325525929565,32,NA,NA,NA
"real","AUS_GNB",-0.744455289500892,1.89316384847283,18,NA,NA,NA
"real","AUS_GRC",-0.0323625598597567,0.291232589939837,32,NA,NA,NA
"real","AUS_GRD",-0.566191264361962,1.32667910956004,32,NA,NA,NA
"real","AUS_GTM",-0.358780786668561,0.779004392585841,32,NA,NA,NA
"real","AUS_GUF",-0.961234815581053,1.21004443966549,11,NA,NA,NA
"real","AUS_GUY",-0.511318339497851,1.1035318966507,32,NA,NA,NA
"real","AUS_HUN",-0.132224453812446,0.325953471531492,32,NA,NA,NA
"real","AUS_IDN",0.0423880524835741,0.0292309816431032,23,NA,NA,NA
"real","AUS_IND",0.00737339276222942,0.0417024314738596,32,NA,NA,NA
"real","AUS_IRL",-0.255511508807555,0.150111885772657,32,NA,NA,NA
"real","AUS_IRN",-0.0926309879145827,0.886548682051544,32,NA,NA,NA
"real","AUS_IRQ",-1.46850286642878,6.67634636037768,31,NA,NA,NA
"real","AUS_ISL",-0.227240022045509,2.04467344736748,32,NA,NA,NA
"real","AUS_ISR",0.198217023437392,0.173238985466303,32,NA,NA,NA
"real","AUS_ITA",0.202090433120352,0.334297719812506,32,NA,NA,NA
"real","AUS_JAM",-0.159825729773835,0.573588787747788,32,NA,NA,NA
"real","AUS_JOR",0.0140231241237125,0.205155234153071,32,NA,NA,NA
"real","AUS_JPN",-0.0590748692118021,0.019435723392675,26,NA,NA,NA
"real","AUS_KEN",0.0328518931137076,0.344573705395582,32,NA,NA,NA
"real","AUS_KHM",0.0985298091911077,0.889887411038186,22,NA,NA,NA
"real","AUS_KNA",-0.0829342249019846,0.977708185003991,29,NA,NA,NA
"real","AUS_KOR",0.00204682656996184,0.00991172559814081,25,NA,NA,NA
