"pair","theta_A","n_post_cells"
"AND_IDN",-2.56307690632299,15
"AND_IND",-3.19819182123145,11
"AND_ISR",0.42963256737911,6
"AND_JPN",-1.38696123645289,7
"AND_KEN",-1.2747925165874,6
"AND_KNA",-2.47938237131049,4
"AND_KOR",-1.62877910026588,6
"AND_LBN",-0.871358738732365,11
"AND_LKA",-0.920964100872019,7
"AND_MAR",-1.50984472422668,7
"AND_MDA",-0.172730040801923,9
"AND_MEX",-0.622769108160491,5
"AND_MKD",-1.77333122723576,11
"AND_MNE",0.553551577775143,8
"AND_MOZ",-0.853219751462063,9
"AND_MRT",0.055890036870045,6
"AND_MWI",-0.654205438711385,5
"AND_MYS",-3.16342131882507,7
"AND_MYT",-1.46616187408587,4
"AND_NAM",-1.99592360533612,10
"AND_NGA",-3.99778071020911,6
"AND_NIC",-3.5063297749136,5
"AND_NOR",-0.061020498854978,10
"AND_NZL",0.768249516726273,4
"AND_PER",-3.21321987791248,5
"AND_PYF",0.859448539606928,5
"AND_RUS",-0.355066071478666,13
"AND_RWA",-0.65858901996884,10
"AND_SAU",0.131530572866621,6
"AND_SDN",-0.453197258891186,7
"AND_SEN",-0.412467616987037,6
"AND_SGP",0.0323636356703226,4
"AND_SLV",0.261011037725541,4
"AND_THA",-0.78382436663296,10
"AND_TUN",-2.26408439706183,9
"AND_TUR",-1.07974437495399,13
"AND_TWN",-0.573106242580503,15
"AND_TZA",-3.79651937916376,16
"AND_UGA",-0.504534187153779,6
"AND_UKR",-1.47248510322448,8
"AND_USA",-0.742181171793325,23
"AND_VCT",-2.33699059347131,4
"AND_YEM",-1.59346667574238,8
"AND_ZAF",-1.22057484970027,14
"AND_ZMB",-0.481415364160698,12
"AND_ZWE",-0.748840739406174,6
"ANT_AUS",-0.579826958348316,5
"ANT_BGD",-3.84990319144346,4
"ANT_BOL",-3.12295648664962,8
"ANT_BRA",-1.50462789126114,6
"ANT_BRB",-0.279468695626016,5
"ANT_CAN",-1.07611112468657,14
"ANT_CHE",-0.724019495897935,16
"ANT_CHL",-1.44765713729859,11
"ANT_CIV",-2.46125802093995,7
"ANT_COL",-0.449104365357484,10
"ANT_CRI",0.272825422418509,6
"ANT_CUB",-3.05614813330738,5
"ANT_DOM",-0.564846830128892,4
"ANT_ECU",-0.103978643899533,11
"ANT_GRD",-0.996927971788316,6
"ANT_GUY",-1.4829405397503,5
"ANT_HND",-1.5937233511058,8
"ANT_IDN",-0.922348320825685,9
"ANT_JAM",-0.277006076346508,7
"ANT_JPN",-1.24838142740603,12
"ANT_KNA",-0.27635211793358,10
"ANT_KOR",-1.10627950502483,4
"ANT_MSR",-0.213140125459484,4
"ANT_NIC",0.230163443920527,7
"ANT_NOR",-4.21877119105693,8
"ANT_PAN",-1.5160058865777,5
"ANT_PER",-0.714150683007018,6
"ANT_PHL",-3.58763742303242,4
"ANT_RUS",-1.84062435384459,7
"ANT_SGP",0.0764096749869178,9
"ANT_THA",0.267939291539639,4
"ANT_TTO",-0.419180994726385,6
"ANT_TUN",-1.76213940956889,8
"ANT_TUR",-0.788251831847266,10
"ANT_TZA",-1.08671409584598,8
"ANT_UGA",-0.321550639091819,4
"ANT_USA",-0.0461421980383152,8
"ANT_VCT",-1.27283834147684,6
"ANT_VEN",-0.665838406071624,6
"ARE_AFG",0.0519710932896097,6
"ARE_AND",-1.17136436208799,13
"ARE_ARG",-0.543842096364353,20
"ARE_ARM",-0.174556843865443,8
"ARE_ATG",1.42911309092617,4
"ARE_AUS",-0.202457399767292,4
"ARE_AUT",0.292592554959822,4
"ARE_AZE",-0.464821599384188,8
"ARE_BDI",0.372019241034791,5
"ARE_BEL",0.170140074210457,8
"ARE_BEN",-0.0833400481497292,15
"ARE_BFA",0.0385526489489573,7
"ARE_BGD",0.155276407409138,4
"ARE_BGR",-0.159064429229933,18
"ARE_BLR",-0.254968883905923,14
"ARE_BLZ",0.529980246209395,6
"ARE_BRA",-0.243635554269251,24
"ARE_BRB",-0.231953028237453,16
"ARE_BRN",-0.725285191123219,7
"ARE_BTN",-0.075020434331318,6
"ARE_CAF",0.225529363733225,6
"ARE_CAN",-0.219479090826503,14
"ARE_CHL",0.0755073841864179,12
"ARE_CHN",0.218293092027929,6
"ARE_CIV",-0.150138855557699,17
"ARE_CMR",0.0433278618113407,11
"ARE_COG",0.0839407763450584,6
"ARE_COL",-0.138527985133796,12
"ARE_CPV",0.761112972138243,5
"ARE_CRI",-0.831766716948864,17
"ARE_CUB",-0.435202552156882,12
"ARE_CYP",-0.0238323153575009,20
"ARE_CZE",-0.157740676263502,15
"ARE_DEU",-0.00655043579334094,13
"ARE_DMA",-1.57153393131109,11
"ARE_DNK",-0.452460709758525,10
"ARE_DOM",0.22908155135812,8
"ARE_ECU",-0.16934314013151,6
"ARE_EST",-0.00839740001112283,9
"ARE_ETH",-0.0359734774066807,13
"ARE_FIN",-0.433370549142306,20
"ARE_FJI",0.255557103980376,7
"ARE_FRA",0.0448223160454512,14
"ARE_FRO",-1.43057048795429,14
"ARE_GBR",-0.177763340206822,9
"ARE_GEO",0.0710587345735686,18
"ARE_GHA",0.0968943763337902,5
"ARE_GIN",-0.804598012350826,16
"ARE_GMB",0.0494703078158078,4
"ARE_GRC",0.0435701793070791,7
"ARE_GRD",-1.41332204690691,14
"ARE_GRL",0.26553421654363,5
"ARE_GTM",-0.166665760566049,13
"ARE_GUY",-0.0826013490234784,15
"ARE_HKG",-0.0252595642662265,15
"ARE_HND",-0.591336607273926,5
"ARE_HRV",0.225373551132088,5
"ARE_HUN",-0.314743681890077,18
"ARE_IDN",0.447491484603982,5
"ARE_IND",-0.105901716490043,18
"ARE_IRL",-0.324880176151561,15
"ARE_IRN",-0.0191509532302039,4
"ARE_ITA",0.139080629241952,12
"ARE_JAM",0.171130862790342,10
"ARE_JPN",-0.169391491647544,4
"ARE_KAZ",-0.374162518680176,8
"ARE_KEN",-0.328265486139214,15
"ARE_KGZ",-0.382244262326097,12
"ARE_KHM",0.350636326277368,7
"ARE_KNA",0.490539778188534,4
"ARE_KOR",-0.184375569644043,12
"ARE_LCA",-0.100863655681867,10
"ARE_LKA",0.302064364552901,6
"ARE_LSO",-0.0127571722405669,4
"ARE_LTU",-0.301643762697008,15
"ARE_LUX",-0.455269893977478,12
"ARE_LVA",-0.32912933895527,14
"ARE_MAC",0.421538579811915,4
"ARE_MDA",-0.149393696501173,16
"ARE_MDG",-0.791283263152385,22
"ARE_MDV",0.0283674734840809,14
"ARE_MEX",-0.528431295015827,21
"ARE_MKD",-0.359870529263963,12
"ARE_MLI",-0.0833905400078583,13
"ARE_MMR",0.00276778621634066,4
"ARE_MNE",-0.955483822158144,8
"ARE_MOZ",-0.0842684522561751,13
"ARE_MUS",-0.264350420323616,13
"ARE_MWI",-0.00231520260000462,9
"ARE_MYS",0.0161458498943886,16
"ARE_MYT",-0.231564247540721,5
"ARE_NAM",-0.0959661632741323,6
"ARE_NCL",-0.327163563243908,8
"ARE_NER",-0.237304016667484,18
"ARE_NGA",-0.0268855642289507,4
"ARE_NIC",-0.101477018711756,9
"ARE_NLD",0.0381899407755543,10
"ARE_NPL",0.0280236274451442,7
"ARE_NZL",0.472713168897173,4
"ARE_PAK",0.10354608709715,12
"ARE_PAN",0.249636765814225,9
"ARE_PER",-0.687115973356312,20
"ARE_PHL",-0.184350555821862,18
"ARE_PLW",-1.09681798644607,5
"ARE_POL",-0.0451810856678246,20
"ARE_PRT",-0.440829744765337,22
"ARE_PRY",-1.39298743924004,13
"ARE_PYF",0.0289865199890537,7
"ARE_ROU",-0.429446491305967,17
"ARE_RWA",0.107699158021473,6
"ARE_SEN",0.0549726337907817,11
"ARE_SLV",0.49331346573569,4
"ARE_SRB",-0.386630435720393,9
"ARE_STP",0.152817343158541,8
"ARE_SUR",0.373153345647791,5
"ARE_SVK",-0.262444737754514,11
"ARE_SVN",-0.0800888585856045,10
"ARE_SWE",-0.288573385450073,17
"ARE_SWZ",0.060257508030836,6
"ARE_SYC",-0.346184966180544,15
"ARE_TGO",0.270733373035351,5
"ARE_THA",0.0515083487429158,16
"ARE_TTO",0.104189420102685,9
"ARE_TUR",-0.883828463054831,25
"ARE_TWN",-0.730455196359294,26
"ARE_TZA",0.0577555053071395,16
"ARE_UGA",0.0032339808882669,15
"ARE_UKR",-0.12467570784028,17
"ARE_URY",-0.115438020172112,12
"ARE_USA",-0.0236022244735467,9
"ARE_VCT",0.934735595037971,4
"ARE_VEN",-0.402046263858516,22
"ARE_VUT",0.031468771935333,7
"ARE_ZAF",0.1033363479794,9
"ARE_ZMB",0.045032927265728,6
"ARE_ZWE",0.240290553264138,8
"ARG_ABW",0.241588711379551,11
"ARG_AGO",-0.210930920908816,23
"ARG_ALB",0.109732575357469,12
"ARG_AND",-1.26241156196982,10
"ARG_ARE",-0.04781594732226,10
"ARG_ARM",0.0686395535149738,14
"ARG_ATG",0.0267949056424625,20
"ARG_AUS",0.169679722384689,12
"ARG_AUT",0.0978548825450421,16
"ARG_AZE",0.127546585884031,6
"ARG_BEL",0.0666383668296073,7
"ARG_BFA",-0.480897509644401,5
"ARG_BGR",-0.0166620749086529,11
"ARG_BHR",-0.475246864640866,18
"ARG_BHS",-0.30913451106713,6
"ARG_BIH",-0.34660017299109,9
"ARG_BLR",-0.168913520051,16
"ARG_BLZ",-0.523036623997521,14
"ARG_BMU",-0.743360574795438,4
"ARG_BRB",-0.284536821896789,7
"ARG_BRN",1.22645122793101,5
"ARG_CAF",-0.405048487183831,10
"ARG_CAN",-0.232574412207951,23
"ARG_CHE",-0.77000680021201,20
"ARG_CHN",-0.248161670696528,9
"ARG_CIV",0.0398743405296924,14
"ARG_COD",-0.321252206008625,10
"ARG_COG",0.164682421295785,19
"ARG_COM",-0.148191015511081,12
"ARG_CPV",0.251266617621901,10
"ARG_CRI",0.127461252934441,4
"ARG_CYP",-0.0217584558973344,20
"ARG_CZE",-0.136589721454056,17
"ARG_DEU",0.00554135918901027,11
"ARG_DJI",-2.01922948494757,4
"ARG_DMA",-1.14148443489969,12
"ARG_DNK",-0.133106579421374,14
"ARG_DOM",0.00859562714565452,24
"ARG_ESP",-0.092652010796701,11
"ARG_EST",-0.065986814097726,16
"ARG_ETH",-0.743887489497518,12
"ARG_FIN",-0.110956280408112,7
"ARG_FJI",-0.45838297590625,16
"ARG_FRA",-0.155540511934773,7
"ARG_FRO",-0.0981461349598891,5
"ARG_GAB",0.0211001711431091,15
"ARG_GBR",-0.0340748010871754,22
"ARG_GEO",-0.320096340019235,11
"ARG_GMB",-0.662673891768431,5
"ARG_GNQ",-0.170221382286756,14
"ARG_GRC",0.25362915444115,5
"ARG_GRL",0.0534978292127954,7
"ARG_GTM",-0.0690099356965242,13
