"pair","theta_A","n_post_cells","qualifies"
"BHS_EST",-1.05376735609702,10,TRUE
"BHS_FIN",-2.01957384233757,10,TRUE
"BHS_FRA",-0.90685263111719,10,TRUE
"BHS_GBR",-2.53076675388538,10,TRUE
"BHS_GRC",-2.50622975889932,10,TRUE
"BHS_HRV",-6.22263244925604,3,FALSE
"BHS_HTI",-1.14683555550768,15,TRUE
"BHS_HUN",-0.0860547606631609,10,TRUE
"BHS_IRL",1.20184390729904,10,TRUE
"BHS_ITA",-1.65376861490047,10,TRUE
"BHS_LVA",-6.45362127980319,3,FALSE
"BHS_MLT",-1.50839791557117,7,TRUE
"BHS_NLD",-0.748814209718676,10,TRUE
"BHS_POL",0.410656915664681,10,TRUE
"BHS_PRT",-3.77189041213906,10,TRUE
"BHS_ROU",-5.72164292326245,4,TRUE
"BHS_SVK",-3.35887906728043,10,TRUE
"BHS_SVN",0.104998883759767,10,TRUE
"BHS_SWE",-3.4467512625073,10,TRUE
"BIH_ALB",2.75636762714143,14,TRUE
"BIH_AUT",1.10212728762415,10,TRUE
"BIH_BEL",0.440491616651496,10,TRUE
"BIH_CHE",-0.568925259169544,3,FALSE
"BIH_CYP",1.29764723797403,10,TRUE
"BIH_CZE",0.646090252063946,10,TRUE
"BIH_DEU",0.382203827955197,10,TRUE
"BIH_DNK",0.885295707288519,10,TRUE
"BIH_ESP",0.171810059115586,10,TRUE
"BIH_EST",1.83954576918571,10,TRUE
"BIH_FIN",-0.29235020030455,10,TRUE
"BIH_FRA",-0.199563156637179,10,TRUE
"BIH_GBR",0.158355528448377,10,TRUE
"BIH_GRC",-0.7546742650747,10,TRUE
"BIH_HRV",-0.0733223064688467,17,TRUE
"BIH_HUN",0.299193907816408,10,TRUE
"BIH_IRL",0.0699488387267352,10,TRUE
"BIH_ISL",-0.621605590610046,3,FALSE
"BIH_ITA",0.122792325881453,10,TRUE
"BIH_LTU",-2.36314110636649,10,TRUE
"BIH_LUX",-1.27086177472495,10,TRUE
"BIH_LVA",0.760635210593205,10,TRUE
"BIH_MDA",2.26299780629009,14,TRUE
"BIH_MKD",-0.030416586567391,16,TRUE
"BIH_MLT",0.356299131116459,10,TRUE
"BIH_NLD",0.665877003553861,10,TRUE
"BIH_NOR",0.4743941337228,3,FALSE
"BIH_POL",-0.00305528669541273,10,TRUE
"BIH_PRT",-0.883841483985748,10,TRUE
"BIH_SVK",1.05156633674581,10,TRUE
"BIH_SWE",0.362938653217852,10,TRUE
"BIH_TUR",0.330583374867839,15,TRUE
"BLR_ARM",0.400796090550444,6,TRUE
"BLR_MDA",-0.447946885749473,6,TRUE
"BLR_UKR",-0.159130567596693,14,TRUE
"BLZ_AUT",0.0820839626672908,10,TRUE
"BLZ_BEL",-0.00746696581497412,10,TRUE
"BLZ_BGR",1.14835731551962,10,TRUE
"BLZ_CYP",3.36253445619049,5,TRUE
"BLZ_CZE",0.681534401490475,10,TRUE
"BLZ_DEU",-0.0145687940049964,10,TRUE
"BLZ_DNK",-0.79821954954411,10,TRUE
"BLZ_ESP",0.360125896531242,10,TRUE
"BLZ_EST",-1.47797272874209,9,TRUE
"BLZ_FIN",-3.52275815276087,10,TRUE
"BLZ_FRA",0.166551391609128,10,TRUE
"BLZ_GBR",0.472377161578149,10,TRUE
"BLZ_GRC",-0.984812235203355,8,TRUE
"BLZ_HUN",-0.284257175071755,10,TRUE
"BLZ_IRL",1.36219642940125,10,TRUE
"BLZ_ITA",-0.607460619511099,10,TRUE
"BLZ_LTU",-3.08477445201887,8,TRUE
"BLZ_LVA",-4.2788456042051,5,TRUE
"BLZ_MLT",-4.80928295839755,3,FALSE
"BLZ_NLD",1.00642801471188,10,TRUE
"BLZ_POL",-0.965801416832972,10,TRUE
"BLZ_PRT",0.0058226374763918,10,TRUE
"BLZ_ROU",0.0533282545868219,6,TRUE
"BLZ_SVK",-2.30137995517932,10,TRUE
"BLZ_SVN",-0.782847988580301,9,TRUE
"BLZ_SWE",-2.31482962194644,10,TRUE
"BMU_BGR",-2.97151453924957,4,TRUE
"BMU_CZE",-3.00224991186275,13,TRUE
"BMU_EST",-7.11860928298908,7,TRUE
"BMU_HRV",-5.08521958461794,3,FALSE
"BMU_HUN",-2.87216319007349,11,TRUE
"BMU_MLT",-3.59326147276655,8,TRUE
"BMU_POL",-6.63532387344257,14,TRUE
"BMU_SVK",-7.50376390740188,10,TRUE
"BMU_SVN",-4.62516699551529,11,TRUE
"BOL_PAN",-1.51523366779864,6,TRUE
"BRA_CMR",-1.00520224271711,26,TRUE
"BRA_MAR",-0.100510909074621,21,TRUE
"BRA_MMR",2.42596020846696,21,TRUE
"BRA_PAN",0.434978229436306,6,TRUE
"BRB_AUT",-0.179783291689486,10,TRUE
"BRB_BEL",-1.11608218565066,10,TRUE
"BRB_BGR",-1.03129275034048,9,TRUE
"BRB_CYP",2.54804752887181,7,TRUE
"BRB_CZE",-2.01471329645512,10,TRUE
"BRB_DEU",-0.833026910101429,10,TRUE
"BRB_DNK",-1.23189516663636,10,TRUE
"BRB_ESP",-1.91418354500724,10,TRUE
"BRB_EST",1.93253396883706,10,TRUE
"BRB_FIN",0.591362524742925,10,TRUE
"BRB_FRA",0.557913948691315,10,TRUE
"BRB_GBR",-1.47374457622988,10,TRUE
"BRB_GRC",-1.654776614715,10,TRUE
"BRB_HTI",0.339622195923449,16,TRUE
"BRB_HUN",-2.07324241713435,9,TRUE
"BRB_IRL",-3.30604000123967,10,TRUE
"BRB_ITA",-0.259790847332246,10,TRUE
"BRB_LTU",-6.2751767464122,7,TRUE
"BRB_LUX",0.674122677896779,10,TRUE
"BRB_LVA",-4.57152129356493,5,TRUE
"BRB_MLT",-6.4973217712952,6,TRUE
"BRB_NLD",0.217659298409024,10,TRUE
"BRB_POL",-0.234701662191774,10,TRUE
"BRB_PRT",-2.36817236985218,10,TRUE
"BRB_ROU",-1.69261028593494,9,TRUE
"BRB_SVK",0.654080640015243,10,TRUE
"BRB_SVN",-5.99448043274006,10,TRUE
"BRB_SWE",-0.287900314678472,10,TRUE
"BRN_AUS",0.659507782766187,8,TRUE
"BRN_CHL",-0.23722349711607,10,TRUE
"BRN_CHN",-0.0627298748790872,13,TRUE
"BRN_IDN",5.89459417956894,24,TRUE
"BRN_IND",1.55426238490676,8,TRUE
"BRN_JPN",1.34188393627357,10,TRUE
"BRN_KOR",0.449573768726089,8,TRUE
"BRN_MYS",3.09644050571921,26,TRUE
"BRN_NZL",1.04996275200035,12,TRUE
"BRN_SGP",-0.0885996216598462,26,TRUE
"BRN_THA",-0.705801814810205,26,TRUE
"BTN_IND",2.23183344058431,23,TRUE
"BTN_PAK",-0.600964247249054,23,TRUE
"BWA_CHE",-1.30958478659155,10,TRUE
"BWA_ISL",-8.27385583646152,5,TRUE
"BWA_LSO",-3.67357303102306,18,TRUE
"BWA_MWI",0.221976493996625,18,TRUE
"BWA_NAM",-2.36686989016667,18,TRUE
"BWA_NOR",-1.74817148406711,10,TRUE
"BWA_ZAF",-4.7962154647249,18,TRUE
"BWA_ZMB",0.982319286313106,18,TRUE
"BWA_ZWE",0.636333033028389,18,TRUE
"CAF_CMR",0.348535416666454,18,TRUE
"CAF_COG",-1.39172469768053,19,TRUE
"CAF_GAB",-1.36232619020455,10,TRUE
"CAF_TCD",-1.76167528983731,17,TRUE
"CAN_CHE",0.113134146730606,9,TRUE
"CAN_CHL",0.818357944728178,21,TRUE
"CAN_COL",-0.494663729104599,7,TRUE
"CAN_CRI",0.0975131789769623,16,TRUE
"CAN_HND",-0.285974891591591,4,TRUE
"CAN_ISL",0.0802929859494298,9,TRUE
"CAN_ISR",-0.181213527599128,21,TRUE
"CAN_JOR",-0.358337092938092,6,TRUE
"CAN_KOR",0.00964790419138299,3,FALSE
"CAN_MEX",0.377367032214667,24,TRUE
"CAN_NOR",-0.0394210528060236,9,TRUE
"CAN_PAN",0.728558402575517,5,TRUE
"CAN_PER",0.177736775266089,9,TRUE
"CHE_ALB",-0.647673958329493,8,TRUE
"CHE_ARE",-0.0765180134272621,4,TRUE
"CHE_BGR",-0.737911909499502,25,TRUE
"CHE_BHR",-0.155337058649624,4,TRUE
"CHE_BIH",-0.775472424402476,3,FALSE
"CHE_BWA",-2.37888470282565,10,TRUE
"CHE_CAN",0.290674868948434,9,TRUE
"CHE_CHL",0.420438880172796,14,TRUE
"CHE_CHN",0.81888802587967,4,TRUE
"CHE_COL",-0.994332786416262,7,TRUE
"CHE_CRI",-0.0713300704367417,4,TRUE
"CHE_CYP",-0.372036365715263,14,TRUE
"CHE_EGY",-0.543789509911104,11,TRUE
"CHE_FRO",-2.71631303834099,23,TRUE
"CHE_HKG",0.425134522315632,6,TRUE
"CHE_HRV",-0.217309165560366,16,TRUE
"CHE_HUN",-1.44608229094554,25,TRUE
"CHE_ISR",-0.842844532312811,25,TRUE
"CHE_JOR",-0.475859151921067,16,TRUE
"CHE_JPN",-0.176496323411722,9,TRUE
"CHE_KOR",-0.84389420873361,12,TRUE
"CHE_KWT",-0.02773362625153,4,TRUE
"CHE_LBN",-0.972945596230616,11,TRUE
"CHE_LSO",0.261023372361117,10,TRUE
"CHE_MAR",-0.714921422912364,19,TRUE
"CHE_MEX",-1.63963716433141,17,TRUE
"CHE_MKD",-0.345499126937835,16,TRUE
"CHE_MLT",-0.387861433285564,14,TRUE
"CHE_MNE",-1.59209304628219,6,TRUE
"CHE_NAM",-0.364991479166766,10,TRUE
"CHE_OMN",-0.359512134583562,4,TRUE
"CHE_PAN",-0.0852890650679654,4,TRUE
"CHE_PER",-0.631074765210155,7,TRUE
"CHE_POL",-0.505400162971623,25,TRUE
"CHE_QAT",-0.0382579998547004,4,TRUE
"CHE_ROU",1.08998539744194,25,TRUE
"CHE_SAU",-0.765695032257208,4,TRUE
"CHE_SGP",0.0296403048454054,15,TRUE
"CHE_SRB",-0.249707099507437,8,TRUE
"CHE_SWZ",-0.345569572542327,10,TRUE
"CHE_TUN",-0.863845054468144,13,TRUE
"CHE_TUR",0.193266416355687,26,TRUE
"CHE_UKR",0.425244542041666,6,TRUE
"CHE_ZAF",-0.206897294076818,10,TRUE
"CHL_AUS",1.01992554973401,9,TRUE
"CHL_AUT",0.107330566014293,15,TRUE
"CHL_BEL",0.746481585604906,15,TRUE
"CHL_BGR",-0.484385470131968,11,TRUE
"CHL_BRN",-0.00552730145051667,12,TRUE
"CHL_CAN",0.676496188928937,21,TRUE
"CHL_CHE",0.391290598278127,14,TRUE
"CHL_CHN",0.753572409751679,12,TRUE
"CHL_CMR",2.45203655677187,26,TRUE
"CHL_CRI",0.765652412953655,16,TRUE
"CHL_CYP",-0.0503105537421238,14,TRUE
"CHL_CZE",0.165846646928604,14,TRUE
"CHL_DEU",0.00665121945272542,15,TRUE
"CHL_DNK",0.523319058560641,15,TRUE
"CHL_ESP",0.353731998598734,15,TRUE
"CHL_EST",-0.581435282146933,14,TRUE
"CHL_FIN",0.0644011149949641,15,TRUE
"CHL_FRA",-0.206871256439268,15,TRUE
"CHL_GBR",-0.884390044058861,15,TRUE
"CHL_GRC",-0.00427181877972433,15,TRUE
"CHL_GTM",-0.377804868198915,8,TRUE
"CHL_HKG",0.695475566999726,4,TRUE
"CHL_HND",-0.283309935185306,10,TRUE
"CHL_HRV",-0.305941454913143,5,TRUE
"CHL_HUN",-0.0936376254333045,14,TRUE
"CHL_IRL",0.0202655001900028,15,TRUE
"CHL_ISL",-1.010341251535,14,TRUE
"CHL_ITA",-0.0146843259018062,15,TRUE
"CHL_JPN",0.362606535737241,11,TRUE
"CHL_LTU",1.0824077622734,14,TRUE
